,BBLE,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,manhattan_score,euclidean_score,autoencoder_score,weighted_score
587137,1013060001,1306,1,,"345 PARK AVENUE, L.P.",O4,4,200,405,44.0,399000000,45900000,179550000,0,0,,345 PARK AVENUE,10022.0,,194,392,45900000.0,186390000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
587984,1013710038E,1371,38,E,,U9,3,0,0,,0,0,0,0,0,,21 SUTTON PLACE SOUTH,10022.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
591298,1012651006,1265,1006,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,7241009,789926,3258454,789926,3258454,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,789926.0,2836416.0,789926.0,2836416.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
593307,4000710009F,71,9,F,CITY OF NEW YORK,U6,3,0,0,,0,0,0,0,0,,49 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
593446,1003010001E,301,1,E,,U7,3,0,0,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
595448,1021690048F,2169,48,F,ALERTO PROP,U7,3,103,100,,0,0,0,0,0,,ST NICHOLAS AVENUE,10040.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
598633,1000440008E,44,8,E,NYC DEPT OF HIGHWAYS,V9,4,151,15,,0,0,0,0,0,,PINE STREET,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
599934,1012651032,1265,1032,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,9590291,1046207,4315631,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,1046207.0,3756664.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
600004,1009620008H,962,8,H,NATIONAL PASS RR CORP,U9,3,0,0,,0,0,0,0,0,,EAST 30 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
604281,1006800001E,680,1,E,,U9,3,0,0,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
604752,1006800001,680,1,,NY CONVENTION CTR DVL,P9,4,1227,800,4.0,1145000000,223650000,515250000,223650000,515250000,3410.0,360 WEST STREET,10014.0,,1227,389,206370000.0,476100000.0,206370000.0,476100000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
604980,1007040005E,704,5,E,,U6,3,0,0,,0,0,0,0,0,,WEST 32 STREET,10001.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
605797,1010400029,1040,29,,"WWP OFFICE, LLC",O9,4,200,290,49.0,501000000,54900000,225450000,0,0,,815 8 AVENUE,10019.0,,200,290,54900000.0,222810000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
614446,4158570075H,15857,75,H,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,ROCKAWAY BEACH BLVD,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
616392,1000160120,16,120,,WFP TOWER A CO. L.P.,O4,4,468,213,39.0,296000000,67050000,133200000,67050000,133200000,3390.0,200 LIBERTY STREET,10281.0,,112,112,67050000.0,143680000.0,67050000.0,143680000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
618322,1012651069,1265,1069,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,7505223,818747,3377350,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,818747.0,2939910.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
621612,1010800025E,1080,25,E,CONSOLIDATED RAIL CO,U6,3,0,0,,0,0,0,0,0,,11 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
621909,1013280001,1328,1,,ELI ACQUISITION LLC,O4,4,200,410,32.0,252000000,47250000,113400000,0,0,,909 3 AVENUE,10022.0,,200,410,47250000.0,116360000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
622940,1012651102,1265,1102,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,3089059,336984,1390077,336984,1390077,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,336984.0,1210032.0,336984.0,1210032.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
623044,1000440001,44,1,,CHASE MANHATTAN BANK,O4,4,207,409,57.0,362000000,66600000,162900000,0,2790000,1985.0,26 NASSAU STREET,10005.0,,220,410,66600000.0,161177584.0,,2790000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
625489,2055140122,5514,122,,EDGEWATER PK OWNERS C,A8,1D,200,550,2.0,10540000,229099,422151,111279,111279,1010.0,134B EDGEWATER PARK,10465.0,,21,38,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
626540,1007010030E,701,30,E,THE CITY OF NEW YORK,U6,3,0,0,,0,0,0,0,0,,WEST 29 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
629304,1007290001F,729,1,F,,U6,3,0,0,,0,0,0,0,0,,WEST 31 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
629580,1013070023,1307,23,,BP 599 LEXINGTON AVEN,O4,4,200,225,47.0,427000000,43335000,192150000,0,0,,599 LEXINGTON AVENUE,10022.0,,193,220,43335000.0,178498500.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
629645,4158450044H,15845,44,H,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,ROCKAWAY BEACH BLVD,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
630205,1012651015,1265,1015,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,6517711,711018,2932970,711018,2932970,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,711018.0,2553085.0,711018.0,2553085.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
632228,1010700020E,1070,20,E,CONSOLIDATED RAIL CO,U6,3,0,0,,0,0,0,0,0,,WEST 42 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
632809,1006930028E,693,28,E,,U6,3,50,97,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
640939,1006960028E,696,28,E,N Y C R R CO,U6,3,0,0,,0,0,0,0,0,,WEST 24 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
642733,4000720250F,72,250,F,LIRR,U6,3,0,0,,0,0,0,0,0,,JACKSON AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
643966,1008080040E,808,40,E,CNY/NYCTA,U7,3,75,27,,0,0,0,0,0,,BROADWAY,10001.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
644066,1012960046E,1296,46,E,CNY/NYCTA,U7,3,0,0,,0,0,0,0,0,,EAST 42 STREET,10017.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
648846,1014740007E,1474,7,E,,U1,3,0,0,,0,0,0,0,0,,EAST 59 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
650466,5023590001,2359,1,,PARKS AND RECREATION,Q5,4,898,396,1.0,433200000,194850000,194940000,194850000,194940000,2231.0,1001 RICHMOND HILL ROAD,10306.0,X1,50,80,177977880.0,178067880.0,177977880.0,178067880.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
651202,1000160225,16,225,,BATTERY PARK CITY AUT,O4,4,286,174,17.0,93000000,11880000,41850000,11880000,41850000,6800.0,1 NORTH END AVENUE,10281.0,,286,155,11880000.0,45611000.0,11880000.0,45611000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
654033,1006720001,672,1,,601 WEST ASSOCIATESLL,L9,4,202,652,19.0,298000000,14580000,134100000,0,0,,200 WEST STREET,10282.0,,202,652,14580000.0,117180000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
654586,1012660001,1266,1,,RCPI LANDMARK PROPERT,O3,4,200,920,31.0,814000000,111150000,366300000,0,0,,1260 AVENUE OF THE AMER,10020.0,,201,240,111150000.0,323459997.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
658317,4159010005F,15901,5,F,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,ROCKAWAY BEACH BLVD,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
662108,1012651027,1265,1027,,RCPI 30 ROCK 22234849,R5,4,0,0,70.0,9807718,1069928,4413473,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,1069928.0,3841837.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
663244,4077200100,7720,100,,PARKS AND RECREATION,V1,4,1352,1200,,463478400,208565280,208565280,208565280,208565280,2231.0,DOUGLASTON PARKWAY,11362.0,X1,0,0,125906112.0,125906112.0,125906112.0,125906112.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
663791,4158470075F,15847,75,F,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,BEACH 39 STREET,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
663809,4160870015F,16087,15,F,NYS DOT,U7,3,2,9,,0,0,0,0,0,,BEACH 72 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
665681,1009700001F,970,1,F,CNY/TBTA,U1,3,336,712,,0,0,0,0,0,,1 AVENUE,10016.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
667629,3002080201F,208,201,F,CNY/NYCTA,U7,3,10,100,,0,0,0,0,0,,COLUMBIA HEIGHTS,11201.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
668805,4000650004F,65,4,F,CITY OF NEW YORK,U7,3,0,0,,0,0,0,0,0,,BORDEN AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
674856,1021780002E,2178,2,E,NYC & HRR CO,U6,3,0,0,,0,0,0,0,0,,RIVERSIDE DRIVE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
676842,3002080202F,208,202,F,CNY/NYCTA,U7,3,6,100,,0,0,0,0,0,,COLUMBIA HEIGHTS,11201.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
679298,1012651107,1265,1107,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,4438702,484216,1997416,484216,1997416,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,484216.0,1738705.0,484216.0,1738705.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
680079,1012651047,1265,1047,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,9923817,1082595,4465718,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,1082595.0,3887310.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
682986,1013720043E,1372,43,E,,U9,3,0,0,,0,0,0,0,0,,16 SUTTON SQUARE,10022.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
683418,1009450011E,945,11,E,CNY/TBTA,V1,4,41,197,,6550000,2947500,2947500,2947500,2947500,6200.0,2 AVENUE,10016.0,X4,0,0,1921500.0,1921500.0,1921500.0,1921500.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
683626,1007330058E,733,58,E,H & M COPPERMAN,U1,3,65,216,,0,0,0,0,0,,WEST 36 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
685237,1009390008E,939,8,E,NATIONAL PASS RR CORP,U6,3,0,0,,0,0,0,0,0,,EAST 33 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
688514,1013010001E,1301,1,E,PENN CENTRAL,U6,3,0,0,,0,0,0,0,0,,PARK AVENUE,10017.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
